1 16613U          86053.07627914 -.00000008  00000+0  00000+0 0    05
2 16613  98.7266 129.0981 0025478  49.2649 311.0731 14.14897845    04
1 16613U 86019A   86053.07627914 -.00000008  00000-0  00000+0 0    00
2 16613  98.7266 129.0981 0025478  49.2649 311.0731 14.14897845    04
1 16613U 86019A   86053.07628026 -.00000009  00000-0  00000+0 0    17
2 16613  98.7484 129.1183 0024812  36.1627 324.0808 14.15620685    09
1 16613U 86019A   86053.21721322 -.00000009  00000-0  00000+0 0    27
2 16613  98.7356 129.2481 0003187  68.2320 291.8895 14.19773290    21
1 16613U 86019A   86053.28769174 -.00000009  00000-0  00000+0 0    32
2 16613  98.7249 129.3087 0003075  74.9494 285.2027 14.19766717    38
1 16613U 86019A   86053.35816544  .00000118  00000-0  59999-4 0    41
2 16613  98.7374 129.3888 0003956  85.6975 274.4512 14.19702481    45
1 16613U 86019A   86054.20383897  .00000118  00000-0  59999-4 0    57
2 16613  98.7343 130.2204 0003203  68.2952 291.8518 14.19779753   169
1 16613U 86019A   86054.90857192  .00000118  00000-0  59999-4 0    69
2 16613  98.7357 130.9145 0003032  72.3035 287.8562 14.19781129   268
1 16613U 86019A   86056.24755803  .00000335  00000-0  16678-3 0    83
2 16613  98.7360 132.2367 0002960  70.2831 289.8887 14.19785125   456
1 16613U 86019A   86056.88180926  .00000321  00000-0  15999-3 0    92
2 16613  98.7353 132.8614 0003034  71.2882 288.8479 14.19780187   548
1 16613U 86019A   86057.93890834  .00000533  00000-0  25985-3 0   108
2 16613  98.7343 133.9055 0003035  70.6358 289.5276 14.19780904   696
1 16613U 86019A   86058.99626080  .00002196  00000-0  10518-2 0   118
2 16613  98.7358 134.9475 0000258  98.0501 262.0319 14.19442494   847
1 16613U 86019A   86060.05361741  .00000263  00000-0  13328-3 0   136
2 16613  98.7351 135.9900 0000251  86.1264 273.9958 14.19441768   990
1 16613U 86019A   86060.68802608  .01108359  00000-0  52133+0 0   147
2 16613  98.7288 136.6200 0000956  82.2696 278.0210 14.19988418  1084
1 16613U 86019A   86060.96984549  .00308803  00000-0  14508+0 0   175
2 16613  98.7345 136.8976 0000285 109.2241 250.9200 14.20051075  1126
1 16613U 86019A   86061.39256010  .00132295  00000-0  62205-1 0   188
2 16613  98.7319 137.3104 0000500 100.8533 258.9886 14.20013351  1186
1 16613U 86019A   86061.74491137  .00717177  00000-0  33667+0 0   195
2 16613  98.7384 137.6600 0000881 245.3724 114.6935 14.20092177  1233
1 16613U 86019A   86062.09723767  .00000204  00000-0  99999-4 0   204
2 16613  98.7339 138.0065 0000421  85.9735 274.1466 14.20011225  1284
1 16613U 86019A   86062.59046967  .00000204  00000-0  99999-4 0   210
2 16613  98.7332 138.4943 0000472 119.0776 241.0152 14.19995863  1356
1 16613U 86019A   86063.08371233  .00001401  00000-0  66685-3 0   228
2 16613  98.7344 138.9809 0000369 119.0681 241.0542 14.19998568  1421
1 16613U 86019A   86063.99972096  .00000227  00000-0  11474-3 0   234
2 16613  98.7342 139.8856 0000349 125.9751 234.1308 14.19995188  1555
1 16613U 86019A   86064.91573559  .00000350  00000-0  17288-3 0   256
2 16613  98.7338 140.7897 0000299 135.3768 224.7507 14.19996998  1683
1 16613U 86019A   86065.97266924  .00080941  00000-0  38033-1 0   262
2 16613  98.7339 141.8322 0000393 140.8235 219.4010 14.20051549  1837
1 16613U 86019A   86067.09993086  .00080970  00000-0  38033-1 0   287
2 16613  98.7355 142.9443 0000434 118.5260 241.1407 14.20070448  1995
1 16613U 86019A   86067.66367159  .00064558  00000-0  30346-1 0   290
2 16613  98.7334 143.5032 0000361 125.7068 234.2225 14.20034711  2072
1 16613U 86019A   86067.94554747  .00064567  00000-0  30346-1 0   304
2 16613  98.7353 143.7805 0000552 133.6368 226.4570 14.20042368  2114
1 16613U 86019A   86068.43876273  .00028378  00000-0  13345-1 0   311
2 16613  98.7311 144.2675 0000519 123.1031 236.9375 14.20027649  2184
1 16613U 86019A   86068.93199983  .00010553  00000-0  49680-2 0   321
2 16613  98.7306 144.7553 0001015 128.6802 231.4161 14.20030286  2258
1 16613U 86019A   86070.12982729  .00010557  00000-0  49680-2 0   338
2 16613  98.7336 145.9356 0000496 125.2754 234.8218 14.20049123  2425
1 16613U 86019A   86070.97534421  .00010557  00000-0  49680-2 0   344
2 16613  98.7316 146.7700 0000487 141.6946 218.3417 14.20051072  2547
1 16613U 86019A   86071.96178914  .00010557  00000-0  49680-2 0   356
2 16613  98.7306 147.7444 0000973 109.8284 250.1600 14.20048336  2685
1 16613U 86019A   86073.08916414  .00000379  00000-0  18673-3 0   367
2 16613  98.7319 148.8569 0000813 140.0370 219.9454 14.20028649  2848
1 16613U 86019A   86073.86426037  .00000035  00000-0  20753-4 0   373
2 16613  98.7321 149.6215 0000743 144.6746 215.4499 14.20028611  2958
1 16613U 86019A   86074.85071114 -.00000005  00000-0  18717-5 0   382
2 16613  98.7318 150.5945 0000756 142.5335 217.5879 14.20028437  3097
1 16613U 86019A   86075.90762353  .00001346  00000-0  64083-3 0   395
2 16613  98.7286 151.6363 0000819 142.2465 217.8751 14.20029760  3247
1 16613U 86019A   86076.96453400  .00000421  00000-0  20614-3 0   409
2 16613  98.7304 152.6820 0000977 151.3459 208.7787 14.20030121  3393
1 16613U 86019A   86077.88052289  .00020871  00000-0  98198-2 0   414
2 16613  98.7281 153.5850 0000761 147.5223 212.5822 14.20016636  3520
1 16613U 86019A   86078.93743090  .00001236  00000-0  58910-3 0   422
2 16613  98.7301 154.6282 0001128 157.0123 203.0864 14.20028883  3671
1 16613U 86019A   86079.92388581  .00001236  00000-0  58910-3 0   433
2 16613  98.7305 155.6015 0001230 157.3052 202.8103 14.20027407  3818
1 16613U 86019A   86080.91033852  .00001236  00000-0  58910-3 0   443
2 16613  98.7306 156.5765 0001047 151.8743 208.2519 14.20028494  3956
